month,active_orgs,new_orgs,retained_orgs,resurrected_orgs,churned_orgs,quick_ratio,mom_retention_pct
2025-07-01,960,960,0,0,0,,
2025-08-01,1047,102,945,0,-15,6.8,98.4
2025-09-01,1017,8,1001,8,-46,0.35,95.6
2025-10-01,1006,2,983,21,-34,0.68,96.7
2025-11-01,994,0,974,20,-32,0.63,96.8
2025-12-01,982,0,958,24,-36,0.67,96.4
2026-01-01,978,0,954,24,-28,0.86,97.1
2026-02-01,956,0,935,21,-43,0.49,95.6
2026-03-01,945,0,918,27,-38,0.71,96.0
2026-04-01,923,0,900,23,-45,0.51,95.2
2026-05-01,883,0,862,21,-61,0.34,93.4
2026-06-01,815,0,806,9,-77,0.12,91.3
2026-07-01,781,0,781,0,-34,0.0,95.8
2026-08-01,764,0,764,0,-17,0.0,97.8
