contract_type,month,active_orgs,new_orgs,retained_orgs,resurrected_orgs,churned_orgs,quick_ratio
(unmatched),2025-07-01,89,89,0,0,0,
(unmatched),2025-08-01,99,11,88,0,-1,11.0
(unmatched),2025-09-01,99,1,97,1,-2,1.0
(unmatched),2025-10-01,100,1,99,0,0,
(unmatched),2025-11-01,100,0,99,1,-1,1.0
(unmatched),2025-12-01,97,0,97,0,-3,0.0
(unmatched),2026-01-01,95,0,94,1,-3,0.33
(unmatched),2026-02-01,95,0,91,4,-4,1.0
(unmatched),2026-03-01,92,0,90,2,-5,0.4
(unmatched),2026-04-01,86,0,85,1,-7,0.14
(unmatched),2026-05-01,85,0,82,3,-4,0.75
(unmatched),2026-06-01,80,0,79,1,-6,0.17
(unmatched),2026-07-01,76,0,76,0,-4,0.0
(unmatched),2026-08-01,75,0,75,0,-1,0.0
annual,2025-07-01,397,397,0,0,0,
annual,2025-08-01,433,41,392,0,-5,8.2
annual,2025-09-01,422,3,417,2,-16,0.31
annual,2025-10-01,413,0,404,9,-18,0.5
annual,2025-11-01,407,0,397,10,-16,0.63
annual,2025-12-01,406,0,391,15,-16,0.94
annual,2026-01-01,408,0,398,10,-8,1.25
annual,2026-02-01,394,0,389,5,-19,0.26
annual,2026-03-01,388,0,377,11,-17,0.65
annual,2026-04-01,378,0,371,7,-17,0.41
annual,2026-05-01,361,0,354,7,-24,0.29
annual,2026-06-01,330,0,326,4,-35,0.11
annual,2026-07-01,317,0,317,0,-13,0.0
annual,2026-08-01,311,0,311,0,-6,0.0
monthly,2025-07-01,391,391,0,0,0,
monthly,2025-08-01,423,41,382,0,-9,4.56
monthly,2025-09-01,409,3,401,5,-22,0.36
monthly,2025-10-01,408,1,397,10,-12,0.92
monthly,2025-11-01,401,0,394,7,-14,0.5
monthly,2025-12-01,396,0,387,9,-14,0.64
monthly,2026-01-01,390,0,381,9,-15,0.6
monthly,2026-02-01,383,0,372,11,-18,0.61
monthly,2026-03-01,381,0,368,13,-15,0.87
monthly,2026-04-01,381,0,367,14,-14,1.0
monthly,2026-05-01,358,0,350,8,-31,0.26
monthly,2026-06-01,333,0,329,4,-29,0.14
monthly,2026-07-01,316,0,316,0,-17,0.0
monthly,2026-08-01,309,0,309,0,-7,0.0
usage,2025-07-01,83,83,0,0,0,
usage,2025-08-01,92,9,83,0,0,
usage,2025-09-01,87,1,86,0,-6,0.17
usage,2025-10-01,85,0,83,2,-4,0.5
usage,2025-11-01,86,0,84,2,-1,2.0
usage,2025-12-01,83,0,83,0,-3,0.0
usage,2026-01-01,85,0,81,4,-2,2.0
usage,2026-02-01,84,0,83,1,-2,0.5
usage,2026-03-01,84,0,83,1,-1,1.0
usage,2026-04-01,78,0,77,1,-7,0.14
usage,2026-05-01,79,0,76,3,-2,1.5
usage,2026-06-01,72,0,72,0,-7,0.0
usage,2026-07-01,72,0,72,0,0,
usage,2026-08-01,69,0,69,0,-3,0.0
