cohort_q,m00,m01,m03,m06,m12,m18,m24,m36
2022-10-01,100.0,105.7,93.0,98.1,95.7,94.5,81.9,79.5
2023-01-01,100.0,94.2,98.6,104.6,95.6,89.6,86.9,73.1
2023-04-01,100.0,92.8,93.6,106.9,94.2,88.0,69.0,57.7
2023-07-01,100.0,98.4,98.7,95.4,80.5,94.1,96.0,
2023-10-01,100.0,103.5,92.3,99.2,95.9,98.7,90.5,
2024-01-01,100.0,84.0,91.0,94.8,92.9,88.2,65.4,
2024-04-01,100.0,97.2,101.7,95.3,92.1,84.5,76.6,
2024-07-01,100.0,93.6,97.2,92.4,87.5,88.4,,
2024-10-01,100.0,96.0,99.5,90.2,77.0,71.3,,
2025-01-01,100.0,96.5,87.1,111.8,87.4,,,
2025-04-01,100.0,99.2,91.4,102.3,75.3,,,
2025-07-01,100.0,79.6,85.5,73.4,,,,
2025-10-01,100.0,96.4,90.0,97.3,,,,
2026-01-01,100.0,97.7,95.7,,,,,
2026-04-01,100.0,89.2,,,,,,
2026-07-01,100.0,,,,,,,
