contract_type,month,paying_customers,revenue,new_rev,retained_rev,expansion_rev,contraction_rev,resurrected_rev,churned_rev,quick_ratio
annual,2022-11-01,7,22520.0,22520.0,,,,,,
annual,2022-12-01,16,50276.0,27756.0,22520.0,,,,,
annual,2023-01-01,26,73653.0,23378.0,50276.0,,,,,
annual,2023-02-01,38,102584.0,28931.0,73653.0,,,,,
annual,2023-03-01,48,141897.0,39314.0,102584.0,,,,,
annual,2023-04-01,63,177189.0,35291.0,141897.0,,,,,
annual,2023-05-01,75,212976.0,35787.0,177189.0,,,,,
annual,2023-06-01,85,220642.0,7666.0,212976.0,,,,,
annual,2023-07-01,97,242859.0,22217.0,220642.0,,,,,
annual,2023-08-01,107,266621.0,23762.0,242859.0,,,,,
annual,2023-09-01,122,291026.0,24405.0,266621.0,,,,,
annual,2023-10-01,134,328729.0,37703.0,291026.0,,,,,
annual,2023-11-01,144,344954.0,17425.0,327395.0,134.0,-1334.0,,,13.17
annual,2023-12-01,151,378618.0,33992.0,344105.0,521.0,-528.0,,-321.0,40.66
annual,2024-01-01,163,395973.0,23985.0,371573.0,414.0,-1811.0,,-5234.0,3.46
annual,2024-02-01,175,400245.0,6184.0,393481.0,581.0,-1692.0,,-800.0,2.71
annual,2024-03-01,190,448208.0,47570.0,399509.0,1128.0,-736.0,,,66.18
annual,2024-04-01,199,467257.0,23217.0,439616.0,4425.0,-1478.0,,-7113.0,3.22
annual,2024-05-01,200,472758.0,11660.0,459737.0,1361.0,-5575.0,,-1946.0,1.73
annual,2024-06-01,209,482255.0,10695.0,471404.0,156.0,-1354.0,,,8.01
annual,2024-07-01,221,502163.0,26574.0,472781.0,2808.0,-191.0,,-9283.0,3.1
annual,2024-08-01,239,536004.0,26776.0,498153.0,2557.0,-4010.0,8518.0,,9.44
annual,2024-09-01,253,561630.0,34921.0,526520.0,189.0,-2159.0,,-7325.0,3.7
annual,2024-10-01,267,577411.0,16613.0,559011.0,1786.0,-2619.0,,,7.03
annual,2024-11-01,282,622820.0,46656.0,574989.0,850.0,-1755.0,324.0,-666.0,19.75
annual,2024-12-01,294,647629.0,32328.0,612295.0,2620.0,-327.0,387.0,-10198.0,3.36
annual,2025-01-01,304,664535.0,15594.0,641478.0,2595.0,-1108.0,4868.0,-5043.0,3.75
annual,2025-02-01,305,675576.0,7742.0,656358.0,11476.0,-1897.0,,-6280.0,2.35
annual,2025-03-01,313,671910.0,10883.0,653817.0,2345.0,-13107.0,4865.0,-8653.0,0.83
annual,2025-04-01,320,691211.0,14793.0,664119.0,3525.0,-507.0,8775.0,-7284.0,3.48
annual,2025-05-01,329,691758.0,16580.0,670702.0,1694.0,-266.0,2783.0,-20244.0,1.03
annual,2025-06-01,343,726300.0,34077.0,691301.0,922.0,-457.0,,,76.63
annual,2025-07-01,350,745393.0,27199.0,717343.0,851.0,-1359.0,,-7597.0,3.13
annual,2025-08-01,354,750770.0,13051.0,736694.0,1025.0,-1765.0,,-6933.0,1.62
annual,2025-09-01,362,774440.0,15267.0,746372.0,3800.0,-745.0,9001.0,-3653.0,6.38
annual,2025-10-01,362,786559.0,24787.0,759898.0,1874.0,-1065.0,,-13477.0,1.83
annual,2025-11-01,372,803443.0,44860.0,754109.0,1926.0,-1859.0,2548.0,-30591.0,1.52
annual,2025-12-01,383,859705.0,47250.0,788448.0,4190.0,-2563.0,19818.0,-12432.0,4.75
annual,2026-01-01,386,858130.0,10860.0,841364.0,655.0,-1772.0,5252.0,-16569.0,0.91
annual,2026-02-01,390,868012.0,13959.0,844517.0,8560.0,-1006.0,976.0,-12608.0,1.73
annual,2026-03-01,383,844177.0,404.0,840177.0,3009.0,-10778.0,587.0,-17057.0,0.14
annual,2026-04-01,388,848180.0,19554.0,824101.0,3936.0,-5524.0,589.0,-14552.0,1.2
annual,2026-05-01,385,857555.0,6726.0,837843.0,4055.0,-3471.0,8931.0,-6867.0,1.91
annual,2026-06-01,377,842143.0,1589.0,839952.0,602.0,-4185.0,,-13418.0,0.12
annual,2026-07-01,368,815482.0,785.0,813033.0,1356.0,-1366.0,308.0,-27744.0,0.08
annual,2026-08-01,359,794953.0,6371.0,785866.0,782.0,-1801.0,1934.0,-27815.0,0.31
monthly,2022-10-01,2,2303.0,2303.0,,,,,,
monthly,2022-11-01,9,16684.0,14334.0,2268.0,82.0,-35.0,,,408.85
monthly,2022-12-01,15,31094.0,9761.0,15209.0,6124.0,-777.0,,-698.0,10.77
monthly,2023-01-01,26,41832.0,16037.0,24879.0,275.0,-6216.0,641.0,,2.73
monthly,2023-02-01,32,39925.0,17090.0,22215.0,620.0,-1282.0,,-18335.0,0.9
monthly,2023-03-01,47,77068.0,22184.0,38092.0,4382.0,-660.0,12410.0,-1172.0,21.27
monthly,2023-04-01,52,92726.0,13891.0,64757.0,2423.0,-10457.0,11656.0,-1854.0,2.27
monthly,2023-05-01,65,120111.0,28267.0,86147.0,3063.0,-2592.0,2634.0,-3987.0,5.16
monthly,2023-06-01,77,127692.0,11575.0,107810.0,5225.0,-3779.0,3082.0,-8521.0,1.62
monthly,2023-07-01,84,174896.0,37453.0,113726.0,6782.0,-3244.0,16936.0,-10723.0,4.38
monthly,2023-08-01,100,189833.0,20822.0,148877.0,8474.0,-15209.0,11659.0,-10809.0,1.57
monthly,2023-09-01,105,194442.0,9988.0,166012.0,7511.0,-11701.0,10931.0,-12121.0,1.19
monthly,2023-10-01,114,202460.0,2769.0,171416.0,17152.0,-9659.0,11124.0,-13366.0,1.35
monthly,2023-11-01,114,228577.0,29736.0,171483.0,6806.0,-15690.0,20552.0,-15287.0,1.84
monthly,2023-12-01,132,258438.0,31130.0,195864.0,15967.0,-15934.0,15477.0,-16778.0,1.91
monthly,2024-01-01,138,264618.0,4598.0,224672.0,18683.0,-19237.0,16664.0,-14529.0,1.18
monthly,2024-02-01,143,241247.0,12580.0,207412.0,5372.0,-16140.0,15884.0,-41066.0,0.59
monthly,2024-03-01,156,292355.0,31574.0,211050.0,12989.0,-4887.0,36742.0,-25311.0,2.69
monthly,2024-04-01,161,281618.0,41626.0,200430.0,11092.0,-7830.0,28471.0,-84096.0,0.88
monthly,2024-05-01,189,384016.0,27444.0,253815.0,12383.0,-12925.0,90374.0,-14879.0,4.68
monthly,2024-06-01,184,385845.0,31204.0,322996.0,20166.0,-25134.0,11478.0,-35886.0,1.03
monthly,2024-07-01,203,437219.0,31920.0,346290.0,20794.0,-21790.0,38215.0,-17765.0,2.3
monthly,2024-08-01,220,465276.0,30530.0,387040.0,30493.0,-23141.0,17213.0,-27038.0,1.56
monthly,2024-09-01,225,466981.0,30801.0,393456.0,21936.0,-16951.0,20788.0,-54868.0,1.02
monthly,2024-10-01,241,515612.0,30388.0,413392.0,27599.0,-16117.0,44233.0,-37472.0,1.91
monthly,2024-11-01,255,504705.0,21176.0,423749.0,23640.0,-20545.0,36140.0,-71318.0,0.88
monthly,2024-12-01,263,538313.0,13493.0,434059.0,15035.0,-28610.0,75726.0,-42036.0,1.48
monthly,2025-01-01,278,578277.0,46185.0,466686.0,41913.0,-37368.0,23492.0,-34259.0,1.56
monthly,2025-02-01,255,530033.0,14246.0,482148.0,11760.0,-29540.0,21880.0,-66589.0,0.5
monthly,2025-03-01,282,561451.0,12397.0,464374.0,19154.0,-16858.0,65526.0,-48801.0,1.48
monthly,2025-04-01,269,510290.0,13437.0,410041.0,24506.0,-26671.0,62305.0,-124739.0,0.66
monthly,2025-05-01,300,605007.0,36699.0,433952.0,18175.0,-29193.0,116181.0,-47145.0,2.24
monthly,2025-06-01,302,621663.0,12279.0,525301.0,45466.0,-20587.0,38617.0,-59119.0,1.21
monthly,2025-07-01,311,662919.0,56024.0,518828.0,25477.0,-38627.0,62591.0,-64208.0,1.4
monthly,2025-08-01,323,716731.0,28209.0,562177.0,68425.0,-24237.0,57920.0,-76506.0,1.53
monthly,2025-09-01,322,653568.0,11047.0,552154.0,23573.0,-50170.0,66794.0,-114406.0,0.62
monthly,2025-10-01,338,760515.0,16320.0,582657.0,44203.0,-28637.0,117335.0,-42274.0,2.51
monthly,2025-11-01,329,689943.0,4640.0,604802.0,32579.0,-56467.0,47922.0,-99246.0,0.55
monthly,2025-12-01,333,714648.0,7396.0,584761.0,34925.0,-24867.0,87566.0,-80315.0,1.23
monthly,2026-01-01,328,707072.0,23134.0,583015.0,41142.0,-33503.0,59781.0,-98131.0,0.94
monthly,2026-02-01,319,630398.0,15726.0,542680.0,25269.0,-19118.0,46723.0,-145274.0,0.53
monthly,2026-03-01,327,680905.0,27710.0,531524.0,24677.0,-24793.0,96994.0,-74080.0,1.51
monthly,2026-04-01,313,640780.0,10362.0,540948.0,15866.0,-40993.0,73605.0,-98965.0,0.71
monthly,2026-05-01,312,675853.0,8149.0,585700.0,44560.0,-21571.0,37444.0,-33510.0,1.64
monthly,2026-06-01,292,563117.0,12624.0,506125.0,19646.0,-20032.0,24722.0,-149696.0,0.34
monthly,2026-07-01,300,597498.0,9991.0,467974.0,34200.0,-19402.0,85333.0,-75741.0,1.36
monthly,2026-08-01,209,455381.0,290.0,371803.0,11833.0,-12659.0,71454.0,-213036.0,0.37
usage,2022-10-01,2,581.0,581.0,,,,,,
usage,2022-11-01,1,278.0,,278.0,,-31.0,,-271.0,0.0
usage,2022-12-01,2,624.0,,278.0,27.0,,319.0,,
usage,2023-01-01,7,19806.0,19222.0,584.0,,-41.0,,,473.92
usage,2023-02-01,7,25798.0,6042.0,18553.0,1203.0,-967.0,,-286.0,5.78
usage,2023-03-01,10,26319.0,1025.0,24106.0,605.0,-1691.0,583.0,,1.31
usage,2023-04-01,14,33749.0,7846.0,25239.0,665.0,-1081.0,,,7.88
usage,2023-05-01,14,33656.0,288.0,31391.0,1978.0,-1197.0,,-1162.0,0.96
usage,2023-06-01,15,27109.0,289.0,23992.0,1577.0,-321.0,1251.0,-9343.0,0.32
usage,2023-07-01,15,40237.0,301.0,21317.0,780.0,-892.0,17840.0,-4900.0,3.27
usage,2023-08-01,19,39244.0,2924.0,30836.0,1258.0,-9100.0,4226.0,-301.0,0.89
usage,2023-09-01,22,48646.0,10971.0,36096.0,1272.0,-485.0,307.0,-2663.0,3.99
usage,2023-10-01,25,49008.0,1779.0,42227.0,1203.0,-1292.0,3799.0,-5127.0,1.06
usage,2023-11-01,25,58891.0,9700.0,43262.0,717.0,-1647.0,5213.0,-4099.0,2.72
usage,2023-12-01,27,62743.0,6023.0,51905.0,2560.0,-403.0,2255.0,-6584.0,1.55
usage,2024-01-01,32,90996.0,29385.0,53925.0,1726.0,-4241.0,5959.0,-4577.0,4.2
usage,2024-02-01,31,93045.0,220.0,83031.0,4383.0,-4725.0,5412.0,-3240.0,1.26
usage,2024-03-01,35,88618.0,4403.0,74633.0,6439.0,-4551.0,3143.0,-13861.0,0.76
usage,2024-04-01,33,102178.0,5164.0,79944.0,3224.0,-6180.0,13847.0,-2495.0,2.56
usage,2024-05-01,42,114095.0,10673.0,95083.0,5433.0,-7095.0,2908.0,,2.68
usage,2024-06-01,33,92286.0,,86970.0,5316.0,-3954.0,,-23171.0,0.2
usage,2024-07-01,40,104806.0,668.0,75879.0,1862.0,-6461.0,26397.0,-9946.0,1.76
usage,2024-08-01,45,109583.0,4298.0,86076.0,4855.0,-4098.0,14355.0,-14632.0,1.26
usage,2024-09-01,46,99476.0,6346.0,87622.0,3920.0,-7777.0,1588.0,-14185.0,0.54
usage,2024-10-01,50,110095.0,2181.0,78978.0,1662.0,-4217.0,27273.0,-16282.0,1.52
usage,2024-11-01,49,113705.0,707.0,102510.0,4352.0,-5091.0,6137.0,-2494.0,1.48
usage,2024-12-01,55,127739.0,4926.0,106644.0,4359.0,-4089.0,11810.0,-2972.0,2.99
usage,2025-01-01,56,146998.0,1281.0,118896.0,25042.0,-3924.0,1780.0,-4919.0,3.18
usage,2025-02-01,55,128247.0,10922.0,104248.0,9477.0,-8114.0,3600.0,-34637.0,0.56
usage,2025-03-01,60,152090.0,14681.0,105161.0,6207.0,-8317.0,26040.0,-14769.0,2.03
usage,2025-04-01,60,144799.0,307.0,127828.0,2800.0,-14032.0,13865.0,-10230.0,0.7
usage,2025-05-01,66,167622.0,2718.0,135122.0,18879.0,-3855.0,10903.0,-5823.0,3.36
usage,2025-06-01,64,126060.0,4046.0,119100.0,2344.0,-14313.0,570.0,-34208.0,0.14
usage,2025-07-01,72,166131.0,314.0,119285.0,3430.0,-4212.0,43102.0,-2563.0,6.91
usage,2025-08-01,79,176132.0,10751.0,148667.0,12894.0,-7252.0,3820.0,-10212.0,1.57
usage,2025-09-01,74,160005.0,255.0,146010.0,3850.0,-8184.0,9890.0,-21937.0,0.46
usage,2025-10-01,75,166275.0,330.0,146040.0,4270.0,-11621.0,15634.0,-2343.0,1.45
usage,2025-11-01,77,183696.0,2092.0,158320.0,20989.0,-3783.0,2296.0,-4172.0,3.19
usage,2025-12-01,81,191237.0,16093.0,157815.0,12646.0,-20470.0,4683.0,-5411.0,1.29
usage,2026-01-01,75,169042.0,321.0,146268.0,17425.0,-6486.0,5028.0,-38483.0,0.51
usage,2026-02-01,68,145450.0,5402.0,123725.0,5262.0,-4988.0,11061.0,-40329.0,0.48
usage,2026-03-01,72,147862.0,4579.0,123591.0,4038.0,-4613.0,15653.0,-17246.0,1.11
usage,2026-04-01,68,141290.0,304.0,114996.0,5402.0,-2944.0,20587.0,-29922.0,0.8
usage,2026-05-01,76,183694.0,6025.0,135244.0,14078.0,-4674.0,28347.0,-1371.0,8.01
usage,2026-06-01,69,151451.0,200.0,144412.0,6839.0,-10513.0,,-28768.0,0.18
usage,2026-07-01,66,145444.0,2422.0,129185.0,8672.0,-4820.0,5165.0,-17446.0,0.73
usage,2026-08-01,44,104672.0,,96591.0,3529.0,-2455.0,4551.0,-46398.0,0.17
