month,channel,spend_usd
2022-10,Paid Search,197665.62
2022-10,Paid Social,74178.30
2022-10,Events & Sponsorships,77011.01
2022-10,Content & SEO,60889.79
2022-10,Partner Program,42427.91
2022-10,Outbound SDR,118763.79
2022-11,Paid Search,153109.83
2022-11,Paid Social,67123.90
2022-11,Events & Sponsorships,82147.19
2022-11,Content & SEO,50376.83
2022-11,Partner Program,34699.19
2022-11,Outbound SDR,85921.66
2022-12,Paid Search,136513.59
2022-12,Paid Social,54654.59
2022-12,Events & Sponsorships,54400.05
2022-12,Content & SEO,41041.31
2022-12,Partner Program,31415.87
2022-12,Outbound SDR,71509.60
2023-01,Paid Search,168503.34
2023-01,Paid Social,78713.83
2023-01,Events & Sponsorships,78465.55
2023-01,Content & SEO,46649.20
2023-01,Partner Program,46926.75
2023-01,Outbound SDR,90202.84
2023-02,Paid Search,181149.76
2023-02,Paid Social,94102.11
2023-02,Events & Sponsorships,88782.96
2023-02,Content & SEO,50723.69
2023-02,Partner Program,54559.63
2023-02,Outbound SDR,91155.94
2023-03,Paid Search,234082.44
2023-03,Paid Social,94014.25
2023-03,Events & Sponsorships,84529.66
2023-03,Content & SEO,51694.41
2023-03,Partner Program,49074.86
2023-03,Outbound SDR,109627.07
2023-04,Paid Search,198117.93
2023-04,Paid Social,83993.82
2023-04,Events & Sponsorships,72553.83
2023-04,Content & SEO,52829.36
2023-04,Partner Program,46441.20
2023-04,Outbound SDR,100204.68
2023-05,Paid Search,170613.38
2023-05,Paid Social,76707.72
2023-05,Events & Sponsorships,81017.86
2023-05,Content & SEO,41385.54
2023-05,Partner Program,34931.75
2023-05,Outbound SDR,88963.04
2023-06,Paid Search,192916.48
2023-06,Paid Social,88430.30
2023-06,Events & Sponsorships,67477.78
2023-06,Content & SEO,45983.11
2023-06,Partner Program,46719.75
2023-06,Outbound SDR,81959.11
2023-07,Paid Search,151055.01
2023-07,Paid Social,68891.59
2023-07,Events & Sponsorships,67044.81
2023-07,Content & SEO,31244.48
2023-07,Partner Program,30475.71
2023-07,Outbound SDR,80305.64
2023-08,Paid Search,227354.57
2023-08,Paid Social,90282.96
2023-08,Events & Sponsorships,76469.44
2023-08,Content & SEO,50031.20
2023-08,Partner Program,45137.80
2023-08,Outbound SDR,99111.12
