org_slug,event_date,active_users,sessions
grupo-pena-analytics,2022-10-12,2,12
grupo-pena-analytics,2022-10-13,2,8
grupo-pena-analytics,2022-10-14,3,9
grupo-pena-analytics,2022-10-16,2,8
grupo-pena-analytics,2022-10-18,3,18
grupo-pena-analytics,2022-10-21,2,2
grupo-pena-analytics,2022-10-24,2,14
grupo-pena-analytics,2022-10-26,2,4
grupo-pena-analytics,2022-10-27,2,4
grupo-pena-analytics,2022-10-28,3,18
grupo-pena-analytics,2022-10-31,2,4
grupo-pena-analytics,2022-11-03,3,15
grupo-pena-analytics,2022-11-04,3,24
grupo-pena-analytics,2022-11-06,2,14
grupo-pena-analytics,2022-11-09,2,10
grupo-pena-analytics,2022-11-15,2,8
grupo-pena-analytics,2022-11-16,2,2
grupo-pena-analytics,2022-11-18,3,6
grupo-pena-analytics,2022-11-21,2,10
grupo-pena-analytics,2022-11-24,2,14
grupo-pena-analytics,2022-11-28,3,12
grupo-pena-analytics,2022-12-01,2,4
grupo-pena-analytics,2022-12-02,3,6
grupo-pena-analytics,2022-12-08,2,2
grupo-pena-analytics,2022-12-09,2,14
grupo-pena-analytics,2022-12-11,3,15
grupo-pena-analytics,2022-12-12,2,10
grupo-pena-analytics,2022-12-17,2,8
grupo-pena-analytics,2022-12-19,3,9
grupo-pena-analytics,2022-12-29,2,4
grupo-pena-analytics,2023-01-01,3,3
grupo-pena-analytics,2023-01-03,2,6
grupo-pena-analytics,2023-01-06,3,6
grupo-pena-analytics,2023-01-09,2,2
grupo-pena-analytics,2023-01-11,2,2
grupo-pena-analytics,2023-01-16,3,9
grupo-pena-analytics,2023-01-18,2,10
grupo-pena-analytics,2023-01-23,2,14
grupo-pena-analytics,2023-01-24,3,12
grupo-pena-analytics,2023-01-25,2,8
grupo-pena-analytics,2023-01-27,3,12
grupo-pena-analytics,2023-01-29,3,6
grupo-pena-analytics,2023-01-31,2,8
grupo-pena-analytics,2023-02-01,3,18
grupo-pena-analytics,2023-02-03,3,24
grupo-pena-analytics,2023-02-06,3,18
grupo-pena-analytics,2023-02-07,3,15
grupo-pena-analytics,2023-02-08,3,3
grupo-pena-analytics,2023-02-09,3,15
grupo-pena-analytics,2023-02-10,3,3
grupo-pena-analytics,2023-02-15,3,24
grupo-pena-analytics,2023-02-16,3,6
grupo-pena-analytics,2023-02-17,2,16
grupo-pena-analytics,2023-02-21,3,12
grupo-pena-analytics,2023-02-22,3,18
grupo-pena-analytics,2023-02-24,2,12
grupo-pena-analytics,2023-02-25,2,12
grupo-pena-analytics,2023-02-26,3,21
grupo-pena-analytics,2023-02-27,3,18
grupo-pena-analytics,2023-03-06,2,14
grupo-pena-analytics,2023-03-07,2,12
grupo-pena-analytics,2023-03-08,2,6
grupo-pena-analytics,2023-03-10,3,12
grupo-pena-analytics,2023-03-13,3,6
grupo-pena-analytics,2023-03-17,2,16
grupo-pena-analytics,2023-03-24,3,3
grupo-pena-analytics,2023-03-26,3,21
grupo-pena-analytics,2023-03-27,3,15
grupo-pena-analytics,2023-03-30,3,3
grupo-pena-analytics,2023-03-31,2,6
grupo-pena-analytics,2023-04-01,2,4
grupo-pena-analytics,2023-04-07,3,21
grupo-pena-analytics,2023-04-10,3,12
grupo-pena-analytics,2023-04-13,3,24
grupo-pena-analytics,2023-04-14,2,6
grupo-pena-analytics,2023-04-17,3,18
grupo-pena-analytics,2023-04-19,2,8
grupo-pena-analytics,2023-04-21,3,24
grupo-pena-analytics,2023-05-02,3,9
grupo-pena-analytics,2023-05-03,3,24
grupo-pena-analytics,2023-05-08,3,9
grupo-pena-analytics,2023-05-09,3,21
grupo-pena-analytics,2023-05-10,2,14
grupo-pena-analytics,2023-05-11,2,2
grupo-pena-analytics,2023-05-12,3,9
grupo-pena-analytics,2023-05-16,2,4
grupo-pena-analytics,2023-05-25,3,21
grupo-pena-analytics,2023-05-28,3,18
grupo-pena-analytics,2023-05-29,2,4
grupo-pena-analytics,2023-05-31,3,3
grupo-pena-analytics,2023-06-01,3,15
grupo-pena-analytics,2023-06-05,3,21
grupo-pena-analytics,2023-06-06,2,14
grupo-pena-analytics,2023-06-07,2,16
grupo-pena-analytics,2023-06-08,2,14
grupo-pena-analytics,2023-06-09,3,18
grupo-pena-analytics,2023-06-15,3,6
grupo-pena-analytics,2023-06-19,3,18
grupo-pena-analytics,2023-06-20,2,8
grupo-pena-analytics,2023-06-26,3,6
grupo-pena-analytics,2023-06-28,3,12
grupo-pena-analytics,2023-06-29,2,2
grupo-pena-analytics,2023-06-30,2,14
grupo-pena-analytics,2023-07-10,3,3
grupo-pena-analytics,2023-07-12,4,8
grupo-pena-analytics,2023-07-13,3,21
grupo-pena-analytics,2023-07-14,3,12
grupo-pena-analytics,2023-07-21,3,24
grupo-pena-analytics,2023-07-24,3,12
grupo-pena-analytics,2023-07-26,3,21
grupo-pena-analytics,2023-08-01,4,8
grupo-pena-analytics,2023-08-03,3,9
grupo-pena-analytics,2023-08-04,4,12
grupo-pena-analytics,2023-08-09,3,9
grupo-pena-analytics,2023-08-11,4,16
grupo-pena-analytics,2023-08-16,4,8
grupo-pena-analytics,2023-08-17,4,16
grupo-pena-analytics,2023-08-21,3,21
grupo-pena-analytics,2023-08-22,3,3
grupo-pena-analytics,2023-08-23,4,28
grupo-pena-analytics,2023-08-25,4,24
grupo-pena-analytics,2023-08-28,3,9
grupo-pena-analytics,2023-08-29,3,6
grupo-pena-analytics,2023-08-30,3,9
