invoice_id,customer_ref,invoice_date,amount_usd,status,currency
in_000000001,cus_000000500062,2022-10-01,666.13,paid,USD
in_000000002,cus_000000500040,2022-10-03,58326.72,paid,USD
in_000000003,cus_000000500123,2022-10-03,1199.62,paid,USD
in_000000004,cus_000000500142,2022-10-03,15841.08,paid,USD
in_000000005,cus_000000500155,2022-10-03,606.75,paid,USD
in_000000006,cus_000000500033,2022-10-04,502.22,paid,USD
in_000000007,cus_000000500137,2022-10-04,820.04,failed,USD
in_000000008,cus_000000500020,2022-10-05,857.39,paid,USD
in_000000009,cus_000000500048,2022-10-06,72000.00,paid,USD
in_000000010,cus_000000500144,2022-10-06,1941.33,paid,USD
in_000000011,cus_000000500149,2022-10-06,319.68,paid,USD
in_000000012,cus_000000500032,2022-10-07,632.43,paid,USD
in_000000013,cus_000000500072,2022-10-07,5050.34,paid,USD
in_000000014,cus_000000500091,2022-10-07,37230.16,paid,USD
in_000000015,cus_000000500113,2022-10-08,32015.28,paid,USD
in_000000016,cus_000000500087,2022-10-09,29490.96,paid,USD
in_000000017,cus_000000500137,2022-10-09,820.04,paid,USD
in_000000018,cus_000000500153,2022-10-09,3595.03,paid,USD
in_000000019,cus_000000500157,2022-10-09,21697.92,paid,USD
in_000000020,cus_000000500035,2022-10-10,39565.08,paid,USD
in_000000021,cus_000000500049,2022-10-10,4406.52,paid,USD
in_000000022,cus_000000500152,2022-10-10,2552.38,paid,USD
in_000000023,cus_000000500156,2022-10-10,34365.72,paid,USD
in_000000024,cus_000000500038,2022-10-11,3350.52,paid,USD
in_000000025,cus_000000500145,2022-10-11,1528.67,refunded,USD
in_000000026,cus_000000500146,2022-10-11,2545.09,paid,USD
in_000000027,cus_000000500154,2022-10-11,248408.76,refunded,USD
in_000000028,cus_000000500026,2022-10-12,7803.12,paid,USD
in_000000029,cus_000000500036,2022-10-12,530.36,paid,USD
in_000000030,cus_000000500105,2022-10-12,424.82,paid,USD
in_000000031,cus_000000500138,2022-10-12,657.34,paid,USD
in_000000032,cus_000000500140,2022-10-12,1058.16,paid,USD
in_000000033,cus_000000500014,2022-10-13,27916.20,paid,USD
in_000000034,cus_000000500075,2022-10-13,4092.13,paid,USD
in_000000035,cus_000000500103,2022-10-13,72000.00,paid,USD
in_000000036,cus_000000500132,2022-10-13,18707.52,paid,USD
in_000000037,cus_000000500143,2022-10-13,612.62,paid,USD
in_000000038,cus_000000500147,2022-10-14,403.90,paid,USD
in_000000039,cus_000000500013,2022-10-15,822.66,paid,USD
in_000000040,cus_000000500041,2022-10-15,1069.56,paid,USD
in_000000041,cus_000000500085,2022-10-15,250.00,paid,USD
in_000000042,cus_000000500009,2022-10-17,67388.40,paid,USD
in_000000043,cus_000000500102,2022-10-18,486.19,paid,USD
in_000000044,cus_000000500001,2022-10-20,2080.48,paid,USD
in_000000045,cus_000000500078,2022-10-20,598.62,paid,USD
in_000000046,cus_000000500115,2022-10-20,2348.03,paid,USD
in_000000047,cus_000000500148,2022-10-21,1597.09,paid,USD
in_000000048,cus_000000500004,2022-10-22,7703.20,paid,USD
in_000000049,cus_000000500121,2022-10-22,22871.88,paid,USD
in_000000050,cus_000000500127,2022-10-22,36983.40,paid,USD
in_000000051,cus_000000500141,2022-10-22,622.13,paid,USD
in_000000052,cus_000000500059,2022-10-23,1200.00,paid,USD
in_000000053,cus_000000500061,2022-10-23,531.17,paid,USD
in_000000054,cus_000000500081,2022-10-23,421.08,paid,USD
in_000000055,cus_000000500093,2022-10-23,3359.66,paid,USD
in_000000056,cus_000000500150,2022-10-23,7200.60,paid,USD
in_000000057,cus_000000500023,2022-10-24,291.89,paid,USD
in_000000058,cus_000000500089,2022-10-25,3173.63,paid,USD
in_000000059,cus_000000500110,2022-10-25,1754.53,paid,USD
in_000000060,cus_000000500136,2022-10-25,1982.93,refunded,USD
in_000000061,cus_000000500151,2022-10-25,2148.05,paid,USD
in_000000062,cus_000000500030,2022-10-26,1662.88,paid,USD
in_000000063,cus_000000500101,2022-10-26,5270.07,paid,USD
in_000000064,cus_000000500007,2022-10-27,2795.11,paid,USD
in_000000065,cus_000000500039,2022-10-27,652.44,paid,USD
in_000000066,cus_000000500074,2022-10-27,2215.98,paid,USD
in_000000067,cus_000000500084,2022-10-27,650.65,paid,USD
in_000000068,cus_000000500108,2022-10-27,95004.84,paid,USD
in_000000069,cus_000000500116,2022-10-27,566.26,paid,USD
in_000000070,cus_000000500139,2022-10-27,792.60,failed,USD
in_000000071,cus_000000500104,2022-10-29,44000.52,paid,USD
in_000000072,cus_000000500076,2022-10-31,24685.08,paid,USD
in_000000073,cus_000000500042,2022-11-01,227223.12,paid,USD
in_000000074,cus_000000500062,2022-11-01,666.13,paid,USD
in_000000075,cus_000000500160,2022-11-01,72000.00,paid,USD
in_000000076,cus_000000500168,2022-11-01,779.36,paid,USD
in_000000077,cus_000000500107,2022-11-02,72000.00,paid,USD
in_000000078,cus_000000500129,2022-11-02,5791.17,paid,USD
