cohort_q,m00,m03,m06,m12,m18,m24,m36
2022-10-01,3607.0,14243.0,25107.0,46957.0,70774.0,94870.0,145786.0
2023-01-01,1814.0,6727.0,11383.0,20248.0,27198.0,33966.0,48354.0
2023-04-01,2467.0,9693.0,16611.0,30275.0,44417.0,57589.0,79919.0
2023-07-01,2252.0,8677.0,15037.0,27232.0,38267.0,48707.0,65914.0
2023-10-01,2461.0,9745.0,16922.0,31450.0,46233.0,60780.0,
2024-01-01,4714.0,16677.0,26934.0,45151.0,64113.0,83113.0,
2024-04-01,2412.0,9327.0,15978.0,28611.0,40855.0,53152.0,
2024-07-01,3153.0,12528.0,21639.0,39017.0,56779.0,69395.0,
2024-10-01,2353.0,9203.0,15874.0,28567.0,40260.0,,
2025-01-01,2185.0,8603.0,14836.0,27213.0,38002.0,,
2025-04-01,2268.0,8743.0,14964.0,27252.0,,,
2025-07-01,1783.0,6855.0,11585.0,19150.0,,,
2025-10-01,3575.0,14086.0,24477.0,,,,
2026-01-01,2717.0,10903.0,15435.0,,,,
2026-04-01,2346.0,5814.0,,,,,
2026-07-01,4999.0,,,,,,
