month,seats,new_seats,retained_seats,expansion_seats,contraction_seats,resurrected_seats,churned_seats,quick_ratio
2022-10-01,1069.0,888.0,,,,181.0,,
2022-11-01,2202.0,1073.0,1057.0,72.0,-12.0,,,95.42
2022-12-01,2432.0,199.0,2151.0,82.0,-46.0,,-5.0,5.51
2023-01-01,2599.0,128.0,2404.0,67.0,-25.0,,-3.0,6.96
2023-02-01,2720.0,142.0,2532.0,46.0,-65.0,,-2.0,2.81
2023-03-01,2931.0,184.0,2674.0,73.0,-29.0,,-17.0,5.59
2023-04-01,3222.0,310.0,2864.0,48.0,-59.0,,-8.0,5.34
2023-05-01,3380.0,127.0,3151.0,101.0,-57.0,1.0,-14.0,3.23
2023-06-01,3554.0,180.0,3309.0,65.0,-64.0,,-7.0,3.45
2023-07-01,3618.0,83.0,3478.0,57.0,-73.0,,-3.0,1.84
2023-08-01,3703.0,182.0,3457.0,64.0,-151.0,,-10.0,1.53
2023-09-01,3963.0,233.0,3619.0,111.0,-68.0,,-16.0,4.1
2023-10-01,4250.0,306.0,3844.0,100.0,-90.0,,-29.0,3.41
2023-11-01,4560.0,140.0,4180.0,234.0,-43.0,6.0,-27.0,5.43
2023-12-01,4649.0,102.0,4419.0,126.0,-103.0,2.0,-38.0,1.63
2024-01-01,4745.0,147.0,4474.0,119.0,-159.0,5.0,-16.0,1.55
2024-02-01,4964.0,255.0,4626.0,81.0,-110.0,2.0,-9.0,2.84
2024-03-01,5449.0,423.0,4874.0,152.0,-76.0,,-14.0,6.39
2024-04-01,5892.0,469.0,5279.0,144.0,-113.0,,-57.0,3.61
2024-05-01,6423.0,494.0,5755.0,174.0,-120.0,,-17.0,4.88
2024-06-01,6519.0,103.0,6250.0,166.0,-162.0,,-11.0,1.55
2024-07-01,6727.0,259.0,6339.0,127.0,-168.0,2.0,-12.0,2.16
2024-08-01,6845.0,151.0,6519.0,175.0,-164.0,,-44.0,1.57
2024-09-01,7205.0,421.0,6627.0,155.0,-187.0,2.0,-31.0,2.65
2024-10-01,7461.0,267.0,6985.0,209.0,-173.0,,-47.0,2.16
2024-11-01,8031.0,373.0,7260.0,398.0,-162.0,,-39.0,3.84
2024-12-01,8414.0,399.0,7820.0,195.0,-152.0,,-59.0,2.82
2025-01-01,8756.0,447.0,8129.0,179.0,-254.0,1.0,-31.0,2.2
2025-02-01,8925.0,260.0,8474.0,190.0,-263.0,1.0,-19.0,1.6
2025-03-01,9232.0,234.0,8779.0,217.0,-132.0,2.0,-14.0,3.1
2025-04-01,9386.0,187.0,8990.0,209.0,-182.0,,-60.0,1.64
2025-05-01,9584.0,280.0,9092.0,212.0,-247.0,,-47.0,1.67
2025-06-01,9860.0,241.0,9359.0,259.0,-179.0,1.0,-46.0,2.23
2025-07-01,10128.0,232.0,9645.0,249.0,-179.0,2.0,-36.0,2.25
2025-08-01,10360.0,293.0,9868.0,198.0,-228.0,1.0,-32.0,1.89
2025-09-01,10591.0,283.0,10013.0,295.0,-311.0,,-36.0,1.67
2025-10-01,10915.0,325.0,10278.0,312.0,-276.0,,-37.0,2.04
2025-11-01,11549.0,329.0,10663.0,557.0,-215.0,,-37.0,3.52
2025-12-01,11862.0,324.0,11268.0,270.0,-190.0,,-91.0,2.11
2026-01-01,12015.0,153.0,11575.0,286.0,-221.0,1.0,-66.0,1.53
2026-02-01,12223.0,233.0,11665.0,325.0,-301.0,,-49.0,1.59
2026-03-01,12447.0,221.0,11958.0,266.0,-233.0,2.0,-32.0,1.85
2026-04-01,12572.0,180.0,12069.0,323.0,-295.0,,-83.0,1.33
2026-05-01,12701.0,142.0,12165.0,389.0,-252.0,5.0,-155.0,1.32
2026-06-01,12922.0,278.0,12330.0,314.0,-237.0,,-134.0,1.6
2026-07-01,13083.0,173.0,12658.0,248.0,-194.0,4.0,-70.0,1.61
2026-08-01,13010.0,53.0,12676.0,281.0,-343.0,,-64.0,0.82
