billing_name,crm_companies_sharing_the_stem,candidates
Sao Bento,10,São Bento Coastal | São Bento Compass | São Bento Compass II | São Bento Foundry | São Bento Foundry II | São Bento Foundry II II | São Bento Nimbus | São Bento Precision | São Bento Trading | São Bento Vector
Perez Group,10,Pérez Group Beacon | Pérez Group Cascade | Pérez Group Cascade II | Pérez Group Foundry | Pérez Group Lumen | Pérez Group Nimbus | Pérez Group Onyx | Pérez Group Sable | Pérez Group Supply | Pérez Group Vector
Andre Freres,10,André Frères Analytics | André Frères Beacon | André Frères Clinical | André Frères Compass | André Frères Compass II | André Frères Compass II II | André Frères Freight | André Frères Pioneer | André Frères Summit | André Frères Vector
Hernandez Retail,10,Hernández Retail Anchor | Hernández Retail Atlas | Hernández Retail Cascade | Hernández Retail Clinical | Hernández Retail Nimbus | Hernández Retail Pioneer | Hernández Retail Quantum | Hernández Retail Sable | Hernández Retail Sterling | Hernández Retail Supply
Guimaraes Log,10,Guimarães Log Anchor | Guimarães Log Beacon | Guimarães Log Clinical | Guimarães Log Digital | Guimarães Log Digital II | Guimarães Log Onyx | Guimarães Log Precision | Guimarães Log Quantum | Guimarães Log Sterling | Guimarães Log Supply
Grupo Pena,8,Grupo Peña Analytics | Grupo Peña Compass | Grupo Peña Compass II | Grupo Peña Foundry | Grupo Peña Lumen | Grupo Peña Lumen II | Grupo Peña Pioneer II | Grupo Peña Precision
Tanglewood Anchor,5,Tanglewood Anchor Group | Tanglewood Anchor Holdings | Tanglewood Anchor Inc | Tanglewood Anchor LLC | Tanglewood Anchor Systems
Silverline Quantum,4,Silverline Quantum Group | Silverline Quantum Holdings | Silverline Quantum LLC | Silverline Quantum Labs
Quillfeather Anchor,4,Quillfeather Anchor Corp | Quillfeather Anchor Holdings | Quillfeather Anchor Labs | Quillfeather Anchor Systems
Meridian Cascade,4,Meridian Cascade Group | Meridian Cascade Inc | Meridian Cascade Labs | Meridian Cascade Systems
Pemberton Atlas,4,Pemberton Atlas Group | Pemberton Atlas Holdings | Pemberton Atlas Inc | Pemberton Atlas Systems
Nightingale Anchor,4,Nightingale Anchor Group | Nightingale Anchor Inc | Nightingale Anchor LLC | Nightingale Anchor Labs
