month,paying_customers,revenue,new_rev,retained_rev,expansion_rev,contraction_rev,resurrected_rev,churned_rev,quick_ratio
2022-10-01,67,846191.0,846191.0,,,,,,
2022-11-01,121,2318558.0,2205301.0,102225.0,11033.0,-185.0,,-743780.0,2.98
2022-12-01,129,1410497.0,1098566.0,304374.0,3962.0,-5697.0,3595.0,-2008488.0,0.55
2023-01-01,128,521408.0,208632.0,296018.0,12592.0,-1669.0,4166.0,-1112810.0,0.2
2023-02-01,135,462323.0,98920.0,315323.0,7001.0,-3765.0,41080.0,-202320.0,0.71
2023-03-01,146,769202.0,400480.0,352154.0,8431.0,-6463.0,8137.0,-103706.0,3.79
2023-04-01,162,743597.0,368363.0,360512.0,5048.0,-12725.0,9675.0,-395966.0,0.94
2023-05-01,168,789083.0,347455.0,385739.0,41884.0,-3068.0,14006.0,-354791.0,1.13
2023-06-01,176,882896.0,424019.0,437329.0,11323.0,-17739.0,10225.0,-334015.0,1.27
2023-07-01,178,667498.0,344616.0,308768.0,7178.0,-23061.0,6936.0,-551067.0,0.62
2023-08-01,189,631181.0,164922.0,317824.0,18061.0,-6645.0,130373.0,-343028.0,0.9
2023-09-01,195,794557.0,302973.0,464428.0,22436.0,-5360.0,4720.0,-161393.0,1.98
2023-10-01,226,1792907.0,647847.0,492061.0,8466.0,-7359.0,644532.0,-295138.0,4.3
2023-11-01,244,3423991.0,462332.0,520728.0,26131.0,-9303.0,2414800.0,-1262875.0,2.28
2023-12-01,226,1696829.0,176502.0,542266.0,16459.0,-9033.0,961602.0,-2872692.0,0.4
2024-01-01,240,875571.0,105911.0,531893.0,19400.0,-26718.0,218367.0,-1138218.0,0.3
2024-02-01,251,1222961.0,536956.0,564959.0,14551.0,-12568.0,106494.0,-298044.0,2.12
2024-03-01,287,1498341.0,554761.0,801509.0,33222.0,-43441.0,108849.0,-378011.0,1.65
2024-04-01,303,1985862.0,703158.0,856398.0,42849.0,-12064.0,383457.0,-629879.0,1.76
2024-05-01,326,2121236.0,909214.0,755654.0,23469.0,-147961.0,432899.0,-1082247.0,1.11
2024-06-01,346,1892966.0,480455.0,840174.0,17402.0,-8988.0,554935.0,-1272074.0,0.82
2024-07-01,345,1405282.0,211972.0,808843.0,71227.0,-14827.0,313241.0,-1069296.0,0.55
2024-08-01,334,1342705.0,272041.0,823833.0,17137.0,-32604.0,229693.0,-548845.0,0.89
2024-09-01,349,2353531.0,1245366.0,860496.0,19810.0,-63021.0,227859.0,-419188.0,3.1
2024-10-01,364,2710665.0,511612.0,880960.0,37577.0,-11517.0,1280516.0,-1461054.0,1.24
2024-11-01,395,4804811.0,360965.0,874372.0,8138.0,-56915.0,3561336.0,-1779378.0,2.14
2024-12-01,398,2562482.0,829915.0,893600.0,62513.0,-5642.0,776454.0,-3905569.0,0.43
2025-01-01,414,1989757.0,740924.0,917974.0,16933.0,-51150.0,313926.0,-1593359.0,0.65
2025-02-01,430,2099598.0,679925.0,953248.0,40636.0,-14486.0,425789.0,-1022022.0,1.11
2025-03-01,443,1692145.0,124378.0,975283.0,43097.0,-34680.0,549387.0,-1089635.0,0.64
2025-04-01,455,2383081.0,416694.0,1022399.0,79312.0,-18017.0,864675.0,-651729.0,2.03
2025-05-01,454,3255211.0,818084.0,1047758.0,18927.0,-65038.0,1370443.0,-1270285.0,1.65
2025-06-01,474,2033662.0,243609.0,1037149.0,31282.0,-34358.0,721621.0,-2183704.0,0.45
2025-07-01,479,1928392.0,288251.0,1076815.0,60069.0,-21622.0,503257.0,-935225.0,0.89
2025-08-01,516,2032860.0,497055.0,1064553.0,30210.0,-80832.0,441042.0,-783007.0,1.12
2025-09-01,511,3182121.0,597614.0,1060492.0,34849.0,-46568.0,1489166.0,-925800.0,2.18
2025-10-01,551,3708776.0,590360.0,1102001.0,48565.0,-17091.0,1967850.0,-2063029.0,1.25
2025-11-01,560,6115698.0,867684.0,1128333.0,27761.0,-41925.0,4091921.0,-2538519.0,1.93
2025-12-01,554,3598396.0,649621.0,1126087.0,98007.0,-24425.0,1724680.0,-4965186.0,0.5
2026-01-01,556,2947662.0,568251.0,1148858.0,51136.0,-55322.0,1179416.0,-2394215.0,0.73
2026-02-01,561,2577903.0,110315.0,1170126.0,24708.0,-60355.0,1272755.0,-1717182.0,0.79
2026-03-01,590,2431783.0,432211.0,1271276.0,50833.0,-48433.0,677463.0,-1258193.0,0.89
2026-04-01,607,3162666.0,257834.0,1427446.0,37578.0,-24892.0,1439808.0,-979445.0,1.73
2026-05-01,618,4277628.0,133630.0,1369950.0,72631.0,-20399.0,2701417.0,-1772317.0,1.62
2026-06-01,600,2621958.0,138821.0,1406457.0,78553.0,-18418.0,998126.0,-2852753.0,0.42
2026-07-01,595,2300983.0,580069.0,1506816.0,27969.0,-65483.0,186129.0,-1049659.0,0.71
2026-08-01,435,2126204.0,303253.0,1002369.0,11925.0,-46050.0,808657.0,-1252565.0,0.87
