cohort_q,m00,m01,m03,m06,m12,m18,m24,m36
2022-10-01,100.0,97.3,93.5,91.9,80.0,75.7,71.9,66.5
2023-01-01,100.0,92.9,85.7,80.4,67.9,64.3,58.9,55.4
2023-04-01,100.0,95.0,90.0,83.3,65.0,55.0,43.3,40.0
2023-07-01,100.0,96.1,86.3,80.4,68.6,64.7,51.0,
2023-10-01,100.0,91.9,91.9,80.6,67.7,61.3,51.6,
2024-01-01,100.0,93.5,88.0,85.9,67.4,58.7,58.7,
2024-04-01,100.0,98.3,90.8,80.7,69.7,66.4,61.3,
2024-07-01,100.0,93.2,94.9,83.1,66.1,64.4,,
2024-10-01,100.0,95.7,92.5,87.1,69.9,63.4,,
2025-01-01,100.0,95.1,95.1,85.4,73.8,,,
2025-04-01,100.0,94.1,89.4,85.9,68.2,,,
2025-07-01,100.0,95.6,88.5,83.2,,,,
2025-10-01,100.0,95.6,91.2,84.6,,,,
2026-01-01,100.0,94.1,86.1,,,,,
2026-04-01,100.0,93.5,,,,,,
2026-07-01,100.0,,,,,,,
