ord,rule,n
1,CRM account_status = Active (rows),892
2,CRM account_status = Active (distinct name key),884
3,CRM mrr_usd > 0 and not Churned (rows),1110
4,CRM mrr_usd > 0 and not Churned (distinct name key),1076
5,Billing: paid invoice in last 90 days (customer_ref),691
6,Billing: paid invoice in last 90 days (parent entity),674
7,Billing: paid invoice in last 365 days (customer_ref),1066
8,"Billing: contract-aware (monthly/usage paid 90d, annual paid 365d)",954
9,Billing: recognized revenue > 0 in the as-of month,728
10,Product: any usage in last 30 days (org_slug),938
11,"Product: monthly active orgs, last complete month",937
