quarter,spend_lagged_1m,new_billing,new_crm_rows,cac_per_billing_customer,cac_per_crm_account,gap_pct
2022-10-01,1044315.0,118.0,41.0,8850.0,25471.0,187.8
2023-01-01,1459471.0,56.0,64.0,26062.0,22804.0,-12.5
2023-04-01,1670783.0,60.0,68.0,27846.0,24570.0,-11.8
2023-07-01,1540891.0,51.0,69.0,30214.0,22332.0,-26.1
2023-10-01,1838588.0,62.0,70.0,29655.0,26266.0,-11.4
2024-01-01,1729097.0,92.0,88.0,18795.0,19649.0,4.5
2024-04-01,1793077.0,119.0,72.0,15068.0,24904.0,65.3
2024-07-01,1748103.0,59.0,76.0,29629.0,23001.0,-22.4
2024-10-01,2143590.0,93.0,70.0,23049.0,30623.0,32.9
2025-01-01,1952154.0,103.0,94.0,18953.0,20768.0,9.6
2025-04-01,2135932.0,85.0,65.0,25129.0,32860.0,30.8
2025-07-01,2107209.0,113.0,92.0,18648.0,22904.0,22.8
2025-10-01,2486442.0,91.0,88.0,27324.0,28255.0,3.4
2026-01-01,2269698.0,101.0,112.0,22472.0,20265.0,-9.8
2026-04-01,2544281.0,93.0,90.0,27358.0,28270.0,3.3
