contract_type,month,seats,new_seats,retained_seats,expansion_seats,contraction_seats,resurrected_seats,churned_seats,quick_ratio
(unmatched),2022-10-01,226.0,226.0,,,,,,
(unmatched),2022-11-01,289.0,62.0,224.0,3.0,-2.0,,,32.5
(unmatched),2022-12-01,301.0,7.0,284.0,10.0,-5.0,,,3.4
(unmatched),2023-01-01,327.0,23.0,299.0,5.0,-2.0,,,14.0
(unmatched),2023-02-01,340.0,24.0,315.0,1.0,-11.0,,-1.0,2.08
(unmatched),2023-03-01,364.0,4.0,339.0,21.0,-1.0,,,25.0
(unmatched),2023-04-01,355.0,,352.0,3.0,-12.0,,,0.25
(unmatched),2023-05-01,415.0,60.0,346.0,9.0,-7.0,,-2.0,7.67
(unmatched),2023-06-01,422.0,5.0,409.0,8.0,-6.0,,,2.17
(unmatched),2023-07-01,422.0,,410.0,12.0,-12.0,,,1.0
(unmatched),2023-08-01,433.0,12.0,410.0,11.0,-10.0,,-2.0,1.92
(unmatched),2023-09-01,428.0,11.0,416.0,1.0,-16.0,,-1.0,0.71
(unmatched),2023-10-01,518.0,75.0,421.0,22.0,-7.0,,,13.86
(unmatched),2023-11-01,541.0,26.0,507.0,8.0,-5.0,,-6.0,3.09
(unmatched),2023-12-01,557.0,22.0,530.0,5.0,-11.0,,,2.45
(unmatched),2024-01-01,514.0,,499.0,15.0,-52.0,,-6.0,0.26
(unmatched),2024-02-01,528.0,18.0,496.0,12.0,-18.0,2.0,,1.78
(unmatched),2024-03-01,654.0,109.0,523.0,22.0,-5.0,,,26.2
(unmatched),2024-04-01,628.0,6.0,612.0,10.0,-11.0,,-31.0,0.38
(unmatched),2024-05-01,656.0,17.0,615.0,24.0,-12.0,,-1.0,3.15
(unmatched),2024-06-01,662.0,11.0,643.0,8.0,-13.0,,,1.46
(unmatched),2024-07-01,744.0,79.0,656.0,9.0,-5.0,,-1.0,14.67
(unmatched),2024-08-01,763.0,26.0,727.0,10.0,-15.0,,-2.0,2.12
(unmatched),2024-09-01,770.0,4.0,743.0,23.0,-19.0,,-1.0,1.35
(unmatched),2024-10-01,769.0,,743.0,26.0,-27.0,,,0.96
(unmatched),2024-11-01,800.0,35.0,746.0,19.0,-22.0,,-1.0,2.35
(unmatched),2024-12-01,817.0,14.0,782.0,21.0,-10.0,,-8.0,1.94
(unmatched),2025-01-01,843.0,41.0,792.0,9.0,-24.0,1.0,-1.0,2.04
(unmatched),2025-02-01,846.0,11.0,821.0,14.0,-20.0,,-2.0,1.14
(unmatched),2025-03-01,881.0,22.0,829.0,30.0,-16.0,,-1.0,3.06
(unmatched),2025-04-01,868.0,6.0,853.0,9.0,-21.0,,-7.0,0.54
(unmatched),2025-05-01,890.0,7.0,845.0,38.0,-21.0,,-2.0,1.96
(unmatched),2025-06-01,916.0,27.0,871.0,18.0,-16.0,,-3.0,2.37
(unmatched),2025-07-01,973.0,21.0,897.0,55.0,-18.0,,-1.0,4.0
(unmatched),2025-08-01,1008.0,34.0,954.0,20.0,-18.0,,-1.0,2.84
(unmatched),2025-09-01,1002.0,2.0,985.0,15.0,-21.0,,-2.0,0.74
(unmatched),2025-10-01,1044.0,57.0,966.0,21.0,-34.0,,-2.0,2.17
(unmatched),2025-11-01,1085.0,17.0,1016.0,52.0,-19.0,,-9.0,2.46
(unmatched),2025-12-01,1095.0,4.0,1068.0,23.0,-16.0,,-1.0,1.59
(unmatched),2026-01-01,1119.0,34.0,1070.0,15.0,-19.0,,-6.0,1.96
(unmatched),2026-02-01,1153.0,40.0,1100.0,13.0,-15.0,,-4.0,2.79
(unmatched),2026-03-01,1184.0,25.0,1132.0,27.0,-19.0,,-2.0,2.48
(unmatched),2026-04-01,1185.0,4.0,1157.0,24.0,-22.0,,-5.0,1.04
(unmatched),2026-05-01,1188.0,1.0,1160.0,27.0,-20.0,,-5.0,1.12
(unmatched),2026-06-01,1224.0,39.0,1159.0,26.0,-22.0,,-7.0,2.24
(unmatched),2026-07-01,1237.0,19.0,1195.0,23.0,-16.0,,-13.0,1.45
(unmatched),2026-08-01,1202.0,,1193.0,9.0,-34.0,,-10.0,0.2
annual,2022-10-01,420.0,337.0,,,,83.0,,
annual,2022-11-01,1014.0,553.0,414.0,47.0,-6.0,,,100.0
annual,2022-12-01,1117.0,81.0,1003.0,33.0,-11.0,,,10.36
annual,2023-01-01,1176.0,47.0,1108.0,21.0,-9.0,,,7.56
annual,2023-02-01,1222.0,59.0,1154.0,9.0,-22.0,,,3.09
