month,paying_customers,revenue,new_rev,retained_rev,expansion_rev,contraction_rev,resurrected_rev,churned_rev,quick_ratio
2022-10-01,67,171871.0,171871.0,,,,,,
2022-11-01,142,543557.0,368997.0,163527.0,11033.0,-185.0,,-8159.0,45.54
2022-12-01,178,666534.0,126365.0,532612.0,3962.0,-5697.0,3595.0,-5248.0,12.24
2023-01-01,193,661727.0,32331.0,612638.0,12592.0,-1669.0,4166.0,-52227.0,0.91
2023-02-01,208,712348.0,16297.0,647970.0,7001.0,-3765.0,41080.0,-9992.0,4.68
2023-03-01,223,761835.0,52954.0,692313.0,8431.0,-6463.0,8137.0,-13571.0,3.47
2023-04-01,246,801975.0,54988.0,732264.0,5048.0,-12725.0,9675.0,-16846.0,2.36
2023-05-01,259,892296.0,50427.0,785980.0,41884.0,-3068.0,14006.0,-12928.0,6.65
2023-06-01,272,928707.0,42586.0,864572.0,11323.0,-17739.0,10225.0,-9985.0,2.31
2023-07-01,283,826528.0,41727.0,770687.0,7178.0,-23061.0,6936.0,-134959.0,0.35
2023-08-01,298,991933.0,36220.0,807279.0,18061.0,-6645.0,130373.0,-12604.0,9.59
2023-09-01,308,1029660.0,36922.0,965582.0,22436.0,-5360.0,4720.0,-20990.0,2.43
2023-10-01,325,1107331.0,74949.0,1002307.0,14688.0,-8655.0,15387.0,-18699.0,3.84
2023-11-01,341,1203859.0,53586.0,1082182.0,67472.0,-9415.0,619.0,-15733.0,4.84
2023-12-01,337,1216890.0,24076.0,1166885.0,23329.0,-11288.0,2601.0,-25686.0,1.35
2024-01-01,357,1245466.0,34246.0,1176762.0,20919.0,-27195.0,13540.0,-12933.0,1.71
2024-02-01,377,1548640.0,309380.0,1217861.0,15416.0,-12568.0,5982.0,-15037.0,11.98
2024-03-01,416,1592033.0,90054.0,1450215.0,35057.0,-43441.0,16707.0,-54985.0,1.44
2024-04-01,443,1698680.0,92858.0,1545368.0,49194.0,-12232.0,11260.0,-34432.0,3.29
2024-05-01,481,1691420.0,137777.0,1506102.0,31559.0,-147961.0,15983.0,-44618.0,0.96
2024-06-01,507,1794778.0,56362.0,1665228.0,28894.0,-9116.0,44295.0,-17076.0,4.95
2024-07-01,519,1790659.0,28295.0,1679927.0,73025.0,-14827.0,9412.0,-100024.0,0.96
2024-08-01,512,1860569.0,39430.0,1712214.0,18219.0,-32604.0,90705.0,-45841.0,1.89
2024-09-01,526,1926424.0,118306.0,1763241.0,20440.0,-63021.0,24438.0,-34308.0,1.68
2024-10-01,529,1996920.0,54976.0,1872385.0,52787.0,-12382.0,16772.0,-41657.0,2.3
2024-11-01,559,2061359.0,61183.0,1913088.0,74401.0,-59401.0,12687.0,-24431.0,1.77
2024-12-01,584,2178359.0,102685.0,1980067.0,66132.0,-5642.0,29475.0,-75650.0,2.44
2025-01-01,611,2215661.0,96655.0,2084179.0,20554.0,-51437.0,14273.0,-42743.0,1.4
2025-02-01,638,2343248.0,83016.0,2180408.0,45423.0,-14539.0,34402.0,-20714.0,4.62
2025-03-01,651,2365455.0,45414.0,2251477.0,47190.0,-35046.0,21374.0,-56725.0,1.24
2025-04-01,662,2464322.0,62934.0,2284630.0,87682.0,-18056.0,29076.0,-62769.0,2.22
2025-05-01,666,2476332.0,78451.0,2349414.0,27624.0,-66142.0,20842.0,-48766.0,1.1
2025-06-01,693,2519989.0,51408.0,2385523.0,35572.0,-34882.0,47486.0,-55927.0,1.48
2025-07-01,711,2570591.0,48665.0,2434833.0,70746.0,-21622.0,16347.0,-63534.0,1.59
2025-08-01,754,2606930.0,85292.0,2453438.0,32882.0,-82423.0,35318.0,-34730.0,1.31
2025-09-01,755,2619938.0,67531.0,2479216.0,47674.0,-48040.0,25517.0,-79674.0,1.1
2025-10-01,787,2769546.0,78876.0,2570771.0,72770.0,-17344.0,47130.0,-31824.0,4.04
2025-11-01,798,2830408.0,96278.0,2636103.0,75561.0,-42346.0,22466.0,-91097.0,1.46
2025-12-01,809,3045009.0,150145.0,2734665.0,121467.0,-24425.0,38733.0,-71318.0,3.24
2026-01-01,820,2997751.0,71879.0,2826217.0,68587.0,-55732.0,31068.0,-163060.0,0.78
2026-02-01,836,3124800.0,40169.0,2898615.0,43456.0,-60380.0,142560.0,-38756.0,2.28
2026-03-01,866,3262420.0,162391.0,3019089.0,58317.0,-48435.0,22623.0,-57276.0,2.3
2026-04-01,890,3360246.0,53764.0,3200960.0,60164.0,-26883.0,45357.0,-34577.0,2.59
2026-05-01,903,3357431.0,40325.0,3184113.0,117217.0,-20888.0,15776.0,-155245.0,0.98
2026-06-01,894,3509202.0,124113.0,3266972.0,92677.0,-18860.0,25440.0,-71599.0,2.68
2026-07-01,899,3483581.0,89982.0,3331255.0,29961.0,-65573.0,32384.0,-112373.0,0.86
2026-08-01,728,2934997.0,32769.0,2852735.0,26797.0,-47134.0,22697.0,-583713.0,0.13
