contract_type,base_month,base_customers,logo_retention_pct,grr_pct,nrr_pct
annual,2022-10-01,21,76.2,75.4,85.5
annual,2022-11-01,49,83.7,90.3,111.1
annual,2022-12-01,65,78.5,88.1,105.3
annual,2023-01-01,73,80.8,88.6,105.4
annual,2023-02-01,77,81.8,88.8,105.5
annual,2023-03-01,84,78.6,82.9,98.6
annual,2023-04-01,91,79.1,83.1,99.4
annual,2023-05-01,96,79.2,84.1,101.2
annual,2023-06-01,105,80.0,84.5,102.8
annual,2023-07-01,109,79.8,84.6,102.2
annual,2023-08-01,113,79.6,84.7,102.1
annual,2023-09-01,120,78.3,83.9,100.7
annual,2023-10-01,125,78.4,85.2,102.3
annual,2023-11-01,127,78.7,86.5,105.6
annual,2023-12-01,125,80.8,81.8,100.2
annual,2024-01-01,130,80.8,81.8,100.3
annual,2024-02-01,136,80.1,82.2,100.7
annual,2024-03-01,147,80.3,84.9,103.2
annual,2024-04-01,160,78.1,83.2,100.4
annual,2024-05-01,170,80.0,84.7,100.4
annual,2024-06-01,178,79.2,82.6,96.6
annual,2024-07-01,182,78.0,82.0,96.7
annual,2024-08-01,184,78.8,82.3,96.9
annual,2024-09-01,191,80.1,83.8,98.2
annual,2024-10-01,194,82.0,84.8,99.5
annual,2024-11-01,200,80.0,83.9,95.9
annual,2024-12-01,210,81.0,87.3,100.6
annual,2025-01-01,218,81.2,87.7,101.5
annual,2025-02-01,226,81.4,87.4,101.7
annual,2025-03-01,227,83.3,87.8,102.3
annual,2025-04-01,227,85.0,89.2,104.7
annual,2025-05-01,236,85.6,89.8,107.1
annual,2025-06-01,240,86.3,91.4,109.5
annual,2025-07-01,244,85.7,88.7,105.9
monthly,2022-10-01,39,76.9,80.5,93.1
monthly,2022-11-01,80,81.3,93.7,108.4
monthly,2022-12-01,95,75.8,90.3,105.6
monthly,2023-01-01,103,76.7,90.0,105.4
monthly,2023-02-01,114,77.2,90.7,104.3
monthly,2023-03-01,120,79.2,90.5,102.9
monthly,2023-04-01,135,74.8,90.1,103.9
monthly,2023-05-01,139,73.4,86.2,92.9
monthly,2023-06-01,142,76.1,88.8,98.2
monthly,2023-07-01,147,79.6,85.8,95.6
monthly,2023-08-01,158,72.8,85.0,95.4
monthly,2023-09-01,161,76.4,89.9,98.6
monthly,2023-10-01,172,76.2,87.0,95.5
monthly,2023-11-01,184,76.1,87.6,94.8
monthly,2023-12-01,183,76.0,85.2,91.7
monthly,2024-01-01,197,77.7,84.1,90.7
monthly,2024-02-01,208,76.0,86.0,94.7
monthly,2024-03-01,235,73.6,82.4,91.7
monthly,2024-04-01,249,74.3,83.8,91.5
monthly,2024-05-01,278,72.7,78.2,87.0
monthly,2024-06-01,294,73.8,80.4,88.0
monthly,2024-07-01,301,72.1,78.3,86.1
monthly,2024-08-01,293,75.1,80.2,87.5
monthly,2024-09-01,300,75.7,77.8,84.4
monthly,2024-10-01,298,77.5,80.7,89.2
monthly,2024-11-01,319,75.2,76.9,86.7
monthly,2024-12-01,332,77.1,77.7,86.2
monthly,2025-01-01,348,76.1,62.0,70.8
monthly,2025-02-01,368,75.5,79.5,88.1
monthly,2025-03-01,376,76.1,80.4,89.4
monthly,2025-04-01,384,77.3,81.7,91.1
monthly,2025-05-01,380,77.1,79.3,88.2
monthly,2025-06-01,398,75.9,79.5,88.1
monthly,2025-07-01,412,75.7,80.8,89.8
usage,2022-10-01,7,100.0,99.6,130.4
usage,2022-11-01,13,100.0,98.9,131.8
usage,2022-12-01,18,100.0,98.7,135.6
usage,2023-01-01,17,100.0,96.5,132.8
usage,2023-02-01,17,100.0,97.3,125.8
usage,2023-03-01,19,89.5,90.0,130.3
usage,2023-04-01,20,90.0,96.8,144.4
usage,2023-05-01,24,75.0,85.5,115.2
usage,2023-06-01,25,80.0,84.6,118.2
usage,2023-07-01,27,74.1,51.7,64.4
usage,2023-08-01,27,81.5,84.2,130.2
usage,2023-09-01,27,81.5,82.5,101.7
usage,2023-10-01,28,75.0,86.0,133.6
usage,2023-11-01,30,83.3,82.2,89.2
usage,2023-12-01,29,86.2,90.0,113.7
usage,2024-01-01,30,86.7,85.3,119.7
usage,2024-02-01,33,78.8,55.1,71.6
usage,2024-03-01,34,82.4,70.0,78.4
usage,2024-04-01,34,85.3,73.1,89.8
usage,2024-05-01,33,84.8,95.6,111.2
usage,2024-06-01,35,82.9,95.6,110.2
usage,2024-07-01,36,80.6,93.2,99.4
usage,2024-08-01,35,85.7,83.1,91.8
usage,2024-09-01,35,82.9,94.2,101.4
usage,2024-10-01,37,86.5,94.0,102.4
usage,2024-11-01,40,82.5,96.2,113.7
usage,2024-12-01,42,85.7,95.6,116.3
usage,2025-01-01,45,84.4,92.7,125.8
usage,2025-02-01,44,88.6,88.0,107.8
usage,2025-03-01,48,85.4,79.8,92.1
usage,2025-04-01,51,90.2,81.7,90.6
usage,2025-05-01,50,84.0,66.7,79.1
usage,2025-06-01,55,80.0,69.5,83.2
usage,2025-07-01,55,80.0,62.1,68.1
